output_path,source_scene,source_scene_classification,status,reason
data/analysis/rayong/shorelines/2021-12-27_mndwi_fixed.geojson,S2B_47PPQ_20211227_0_L2A,SAMUT_SONGKHRAM,INVALID_WRONG_AOI,Derived from SAMUT_SONGKHRAM scene
data/analysis/rayong/shorelines/2023-01-16.geojson,S2A_MSIL2A_20230116T034101_R061_T47PPQ_20230116T130750,SAMUT_SONGKHRAM,INVALID_WRONG_AOI,Derived from SAMUT_SONGKHRAM scene
data/analysis/rayong/shorelines/2020-01-07.geojson,S2B_MSIL2A_20200107T034129_R061_T47PPQ_20201029T120132,SAMUT_SONGKHRAM,INVALID_WRONG_AOI,Derived from SAMUT_SONGKHRAM scene
data/analysis/rayong/shorelines/2025-03-01.geojson,S2B_MSIL2A_20250301T033559_R061_T47PPQ_20250301T061709,SAMUT_SONGKHRAM,INVALID_WRONG_AOI,Derived from SAMUT_SONGKHRAM scene
data/analysis/rayong/shorelines/2018-03-03_ndwi_fixed.geojson,S2A_MSIL2A_20180303T033641_R061_T47PPQ_20201013T055010,SAMUT_SONGKHRAM,INVALID_WRONG_AOI,Derived from SAMUT_SONGKHRAM scene
data/analysis/rayong/shorelines/2025-04-20.geojson,S2B_MSIL2A_20250420T033539_R061_T47PPQ_20250420T071841,SAMUT_SONGKHRAM,INVALID_WRONG_AOI,Derived from SAMUT_SONGKHRAM scene
data/analysis/rayong/shorelines/2025-02-09_mndwi_fixed.geojson,S2B_47PQQ_20250209_0_L2A,RAYONG_CONFIRMED,VALID,Matches confirmed Rayong footprint
data/analysis/rayong/shorelines/2022-04-21_ndwi_otsu.geojson,S2A_MSIL2A_20220421T033541_R061_T47PPQ_20220421T223928,SAMUT_SONGKHRAM,INVALID_WRONG_AOI,Derived from SAMUT_SONGKHRAM scene
data/analysis/rayong/shorelines/2022-01-31_mndwi_otsu.geojson,S2A_MSIL2A_20220131T034001_R061_T47PPQ_20220216T134036,SAMUT_SONGKHRAM,INVALID_WRONG_AOI,Derived from SAMUT_SONGKHRAM scene
data/analysis/rayong/shorelines/2025-03-26_mndwi_otsu.geojson,S2C_MSIL2A_20250326T033601_R061_T47PPQ_20250326T085914,SAMUT_SONGKHRAM,INVALID_WRONG_AOI,Derived from SAMUT_SONGKHRAM scene
data/analysis/rayong/shorelines/2020-02-21_ndwi_fixed.geojson,S2A_MSIL2A_20200221T033751_R061_T47PPQ_20200927T123229,SAMUT_SONGKHRAM,INVALID_WRONG_AOI,Derived from SAMUT_SONGKHRAM scene
